29271,8295565300
646739,285808568
593264,3016927
504865327,269681
5524674,1857938
46635055,17485174
17570894,407000777
2464379,93090858
942647,97317
332805811,56310
5408453,21331780
797748094,7234331
2981251,386596
57921,5690289385
38212,5705776
6951185,2609158982
951219,35708404
103915,959318
9552850877,31603697
4260199164,197295316
305162,635435
73659,74357785
31768573,392124808
6203379569,29344
616692576,237755564
91857,65392
21193917,10233392
4363303,54725410
4005352,854009
22231109,15150
583746,52708224
53536,80258
22676,844215312
26266,643423675
91039594,6810266961
11110654,2137676
92198392,767685923
2264548894,6298462696
58488,365233749
815420,303419754
1555048,722889
4224801,746294
825431,831300
10069,466147
65461350,4079996284
45531130,92850
2176932816,973941257
744527,814231
404696111,942264
102260,93601
633044,287398
3620972,971742
868689976,309216332
5095488,983588354
849167038,1738421802
9569499,472100
197068895,227396596
974829330,748099
56500255,6328703
861008720,603655
46897,8713428
1517413,475521906
77154,66850
878677276,3617608265
41279,2240974607
67586,5233556
530427,66243224
74063,98939
58610,871129953
24275724,969107932
180702,881200764
824624,52623557
40606609,6182033
95172,6683672
2460144,474903
456207,4934273
2477652,71127
50807,9555775
946914930,79983769
1961325,5193772
38822384,596095259
1491150,9577840216
59595997,839639
32628,343492
3380385803,15108
393446981,802213085
3467181850,9334524279
465931,53058
573008416,583916
457858102,3451221
2535558828,6488748349
355844,12844
42396,2746895381
1914755,4964468722
1933688,2812824
4587419261,526439
50662973,540700
154894865,68031762
359501785,74146867
538585571,894277271
4223149,37499145
7544284,809681
160505,916705040
897431430,1255462651
3346969918,2763484
79986885,4126107
9318409,353516
6543615851,84613626
618178,6136799465
9170652746,480442582
102669,441158889
362437629,105255
857527,6641275055
8757502339,6420818131
70587,4768183
41128599,90655
872668,5023845708
4750813,7431201
24590785,4140101
248026871,9879485
3776343510,2102002044
92432,2548909
639821,7695431
86193612,9609266374
79901,442210
15751,897059
5315983862,5827478
55863321,61690
8092718,9565235326
19012,68578
3956220,2149430
86260874,5726489
51288466,464292576
651340865,70145703
512863,366138460
202594989,9153551912
19388617,959576
84703029,929155443
1783038711,54092849
855168675,334635
